id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,charge,feature_group,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:feature_state,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:mz,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:mz_range:min,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:mz_range:max,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:rt,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:rt_range:min,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:rt_range:max,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:height,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:area,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:intensity_range:min,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:intensity_range:max,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:fwhm,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:tailing_factor,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:asymmetry_factor,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:fragment_scans,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:rt_ms2_apex_distance,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:isotopes,datafile:202406251802_PMA_dbgi_003185_01_01.mzML:charge
1,0.4785,0.4447,0.5921,226.96348,226.963,226.9641,5.098E5,3.438E4,8.258E3,5.098E5,1,1,,,,,,,,,,DETECTED,226.96348,226.963,226.9641,0.4785,0.4447,0.5921,5.098E5,3.438E4,8.258E3,5.098E5,0.0555,3.0589,5.9949,1,0.0039,2,1
6,0.4785,0.4505,0.5703,275.90373,275.90313,275.90466,6.036E5,3.023E4,9.482E3,6.036E5,1,1,6,,,,,,,,,DETECTED,275.90373,275.90313,275.90466,0.4785,0.4505,0.5703,6.036E5,3.023E4,9.482E3,6.036E5,0.0551,2.4763,4.1855,1,-0.005,4,1
8,0.4902,0.3039,0.5589,173.92317,173.92294,173.92345,6.933E5,8.32E4,2.381E4,6.933E5,4,,6,,,,,,,,,DETECTED,173.92317,173.92294,173.92345,0.4902,0.3039,0.5589,6.933E5,8.32E4,2.381E4,6.933E5,0.0627,0.6842,0.3189,4,-0.1709,,
23,0.5016,0.462,0.5703,386.93736,386.93466,386.94,1.294E6,5.085E4,2.615E4,1.294E6,1,1,55,,,,,,,,,DETECTED,386.93736,386.93466,386.94,0.5016,0.462,0.5703,1.294E6,5.085E4,2.615E4,1.294E6,0.0426,1.3526,1.603,1,-0.0074,5,1
26,0.5016,0.462,0.5359,389.88478,389.88263,389.88596,1.634E5,6.315E3,3.615E4,1.634E5,0,1,6,,,,,,,,,DETECTED,389.88478,389.88263,389.88596,0.5016,0.462,0.5359,1.634E5,6.315E3,3.615E4,1.634E5,0.0405,0.9327,0.8654,,,3,1
27,0.5016,0.462,0.5814,402.91467,402.9126,402.91501,3.399E6,1.329E5,2.488E4,3.399E6,2,1,55,,,,,,,,,DETECTED,402.91467,402.9126,402.91501,0.5016,0.462,0.5814,3.399E6,1.329E5,2.488E4,3.399E6,0.046,1.4528,1.9609,2,-0.0142,6,1
30,0.5016,0.462,0.5471,405.86087,405.85916,405.86227,1.987E5,8.159E3,2.744E4,1.987E5,0,1,6,,,,,,,,,DETECTED,405.86087,405.85916,405.86227,0.5016,0.462,0.5471,1.987E5,8.159E3,2.744E4,1.987E5,0.0413,1.074,1.0403,,,3,1
31,0.5016,0.4695,0.5471,406.90839,406.90607,406.90985,1.221E5,4.291E3,1.974E4,1.221E5,0,1,55,,,,,,,,,DETECTED,406.90839,406.90607,406.90985,0.5016,0.4695,0.5471,1.221E5,4.291E3,1.974E4,1.221E5,0.0399,1.208,1.8077,,,6,1
32,0.5016,0.4695,0.5814,418.89147,418.88904,418.89218,1.582E6,6.421E4,2.354E4,1.582E6,1,1,55,,,,,,,,,DETECTED,418.89147,418.88904,418.89218,0.5016,0.4695,0.5814,1.582E6,6.421E4,2.354E4,1.582E6,0.0538,1.3729,2.1,1,-0.0058,5,1
34,0.5016,0.462,0.5589,434.86748,434.86334,434.8696,3.177E5,1.375E4,1.287E4,3.177E5,1,1,55,,,,,,,,,DETECTED,434.86748,434.86334,434.8696,0.5016,0.462,0.5589,3.177E5,1.375E4,1.287E4,3.177E5,0.0508,1.4116,2.1708,1,0.0187,2,1
