id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,charge,feature_group,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:feature_state,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:mz,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:mz_range:min,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:mz_range:max,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:rt,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:rt_range:min,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:rt_range:max,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:height,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:area,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:intensity_range:min,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:intensity_range:max,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:fwhm,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:tailing_factor,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:asymmetry_factor,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:fragment_scans,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:rt_ms2_apex_distance,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:isotopes,datafile:202406251802_PMA_dbgi_003198_01_01.mzML:charge
2,0.4769,0.3036,0.5459,173.92316,173.9229,173.92366,6.642E5,7.458E4,8.87E4,6.642E5,4,1,1,,,,,,,,,DETECTED,173.92316,173.9229,173.92366,0.4769,0.3036,0.5459,6.642E5,7.458E4,8.87E4,6.642E5,0.0549,0.6989,0.3977,4,-0.1579,3,1
3,0.4769,0.311,0.5922,226.96341,226.96274,226.96417,2.62E5,1.626E4,7.829E3,2.62E5,0,1,1,,,,,,,,,DETECTED,226.96341,226.96274,226.96417,0.4769,0.311,0.5922,2.62E5,1.626E4,7.829E3,2.62E5,0.0712,0.947,6.423,,,3,1
5,0.4769,0.4207,0.524,242.94103,242.94075,242.94151,4.598E5,1.789E4,2.205E4,4.598E5,1,,1,,,,,,,,,DETECTED,242.94103,242.94075,242.94151,0.4769,0.4207,0.524,4.598E5,1.789E4,2.205E4,4.598E5,0.2229,1.0605,2.8426,1,0.0039,,
13,0.4885,0.4607,0.5691,356.92107,356.91928,356.92328,2.651E5,1.414E4,4.221E4,2.651E5,0,1,,,,,,,,,,DETECTED,356.92107,356.91928,356.92328,0.4885,0.4607,0.5691,2.651E5,1.414E4,4.221E4,2.651E5,0.0609,1.9502,3.531,,,3,1
17,0.4999,0.4607,0.5807,402.91385,402.91238,402.91599,1.412E6,6.505E4,1.494E4,1.412E6,1,1,64,,,,,,,,,DETECTED,402.91385,402.91238,402.91599,0.4999,0.4607,0.5807,1.412E6,6.505E4,1.494E4,1.412E6,0.05,1.4448,1.6398,1,-0.0058,5,1
19,0.4999,0.4607,0.5922,418.89198,418.89032,418.89362,3.272E6,1.502E5,2.482E4,3.272E6,2,1,64,,,,,,,,,DETECTED,418.89198,418.89032,418.89362,0.4999,0.4607,0.5922,3.272E6,1.502E5,2.482E4,3.272E6,0.0465,1.459,1.7727,2,-0.0157,5,1
21,0.4999,0.4607,0.5807,434.86912,434.86752,434.86942,2.448E6,1.111E5,2.323E4,2.448E6,1,1,64,,,,,,,,,DETECTED,434.86912,434.86752,434.86942,0.4999,0.4607,0.5807,2.448E6,1.111E5,2.323E4,2.448E6,0.0445,1.482,2.1321,1,-0.0075,3,1
23,0.4999,0.4682,0.5353,516.89241,516.89178,516.89423,9.921E4,3.823E3,2.392E4,9.921E4,0,1,64,,,,,,,,,DETECTED,516.89241,516.89178,516.89423,0.4999,0.4682,0.5353,9.921E4,3.823E3,2.392E4,9.921E4,0.0436,1.057,1.1139,,,3,1
24,0.4999,0.4682,0.5459,532.87085,532.86957,532.87164,3.913E5,1.567E4,6.789E4,3.913E5,1,1,64,,,,,,,,,DETECTED,532.87085,532.86957,532.87164,0.4999,0.4682,0.5459,3.913E5,1.567E4,6.789E4,3.913E5,0.0491,1.2235,1.5536,1,0.0167,4,1
26,0.4999,0.4682,0.5574,548.84841,548.84711,548.85004,7.096E5,2.898E4,5.074E4,7.096E5,1,1,64,,,,,,,,,DETECTED,548.84841,548.84711,548.85004,0.4999,0.4682,0.5574,7.096E5,2.898E4,5.074E4,7.096E5,0.0449,1.2669,1.7661,1,-0.0041,5,1
