id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,charge,feature_group,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:feature_state,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:mz,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:mz_range:min,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:mz_range:max,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:rt,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:rt_range:min,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:rt_range:max,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:height,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:area,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:intensity_range:min,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:intensity_range:max,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:fwhm,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:tailing_factor,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:asymmetry_factor,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:fragment_scans,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:rt_ms2_apex_distance,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:isotopes,datafile:202406251802_PMA_dbgi_003155_01_01.mzML:charge
1,0.4778,0.4365,0.5967,226.96342,226.96227,226.96376,6.465E5,4.191E4,8.276E3,6.465E5,1,1,2,,,,,,,,,DETECTED,226.96342,226.96227,226.96376,0.4778,0.4365,0.5967,6.465E5,4.191E4,8.276E3,6.465E5,0.0697,3.8102,6.2949,1,-0.0035,3,1
4,0.4778,0.4554,0.5739,275.90351,275.90173,275.90396,8.512E5,4.059E4,2.362E4,8.512E5,2,1,2,,,,,,,,,DETECTED,275.90351,275.90173,275.90396,0.4778,0.4554,0.5739,8.512E5,4.059E4,2.362E4,8.512E5,0.0483,2.6917,4.1,2,-0.0051,5,1
9,0.4897,0.3023,0.5502,173.92295,173.92279,173.92307,7.611E5,8.166E4,2.265E4,7.611E5,4,1,123,,,,,,,,,DETECTED,173.92295,173.92279,173.92307,0.4897,0.3023,0.5502,7.611E5,8.166E4,2.265E4,7.611E5,0.0675,0.6614,0.3227,4,-0.1674,3,1
14,0.5016,0.4611,0.5502,322.93936,322.93781,322.94037,2.26E5,1.047E4,1.075E4,2.26E5,1,1,123,,,,,,,,,DETECTED,322.93936,322.93781,322.94037,0.5016,0.4611,0.5502,2.26E5,1.047E4,1.075E4,2.26E5,0.0468,1.2385,1.195,1,0.0177,2,1
15,0.5016,0.4611,0.5502,340.94396,340.94299,340.94443,2.415E5,1.141E4,1.294E4,2.415E5,1,1,123,,,,,,,,,DETECTED,340.94396,340.94299,340.94443,0.5016,0.4611,0.5502,2.415E5,1.141E4,1.294E4,2.415E5,0.0487,1.2359,1.2201,1,-0.003,3,1
22,0.5132,0.448,0.6716,158.97602,158.97452,158.9761,2.199E7,1.891E6,8.921E4,2.199E7,3,1,123,,,,,,,,,DETECTED,158.97602,158.97452,158.9761,0.5132,0.448,0.6716,2.199E7,1.891E6,8.921E4,2.199E7,0.0856,1.4085,1.7883,3,-0.048,4,1
25,0.5132,0.3023,0.5384,225.89481,225.89464,225.89502,2.986E5,3.614E4,1.205E5,2.986E5,1,1,123,,,,,,,,,DETECTED,225.89481,225.89464,225.89502,0.5132,0.3023,0.5384,2.986E5,3.614E4,1.205E5,2.986E5,0.0576,0.5598,0.1195,1,0.0094,2,1
32,0.5132,0.4611,0.5853,288.93492,288.93387,288.93515,1.9E6,9.492E4,4.419E4,1.9E6,2,1,123,,,,,,,,,DETECTED,288.93492,288.93387,288.93515,0.5132,0.4611,0.5853,1.9E6,9.492E4,4.419E4,1.9E6,0.0462,1.1661,1.2462,2,-0.0281,4,1
39,0.5132,0.4687,0.5739,386.93777,386.93628,386.93842,2.512E6,9.162E4,2.197E4,2.512E6,1,1,123,,,,,,,,,DETECTED,386.93777,386.93628,386.93842,0.5132,0.4687,0.5739,2.512E6,9.162E4,2.197E4,2.512E6,0.0341,0.8663,0.691,1,-0.0265,5,1
44,0.5132,0.4687,0.5621,402.91366,402.91214,402.91797,6.389E5,2.227E4,3.489E4,6.389E5,1,1,123,,,,,,,,,DETECTED,402.91366,402.91214,402.91797,0.5132,0.4687,0.5621,6.389E5,2.227E4,3.489E4,6.389E5,0.0323,1.0097,0.7475,1,-0.0162,4,1
