id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,charge,feature_group,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:feature_state,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:mz,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:mz_range:min,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:mz_range:max,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:rt,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:rt_range:min,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:rt_range:max,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:height,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:area,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:intensity_range:min,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:intensity_range:max,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:fwhm,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:tailing_factor,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:asymmetry_factor,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:fragment_scans,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:rt_ms2_apex_distance,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:isotopes,datafile:202406251802_PMA_dbgi_003196_01_01.mzML:charge
1,0.4802,0.3055,0.551,173.92312,173.9229,173.92346,7.216E5,7.59E4,1.813E5,7.216E5,4,1,2,,,,,,,,,DETECTED,173.92312,173.9229,173.92346,0.4802,0.3055,0.551,7.216E5,7.59E4,1.813E5,7.216E5,0.0534,0.7024,0.4048,4,-0.1593,2,1
2,0.4802,0.3496,0.5969,226.96348,226.96208,226.9639,5.021E5,2.836E4,8.026E3,5.021E5,1,1,2,,,,,,,,,DETECTED,226.96348,226.96208,226.9639,0.4802,0.3496,0.5969,5.021E5,2.836E4,8.026E3,5.021E5,0.035,3.1311,5.5864,1,0.0039,3,1
6,0.4802,0.4524,0.5627,275.90368,275.90308,275.90405,5.884E5,2.355E4,8.081E3,5.884E5,1,1,2,,,,,,,,,DETECTED,275.90368,275.90308,275.90405,0.4802,0.4524,0.5627,5.884E5,2.355E4,8.081E3,5.884E5,0.0392,2.3166,3.5296,1,-0.0031,5,1
8,0.4802,0.3055,0.551,291.88161,291.87997,291.8829,1.789E5,1.135E4,1.351E4,1.789E5,0,1,2,,,,,,,,,DETECTED,291.88161,291.87997,291.8829,0.4802,0.3055,0.551,1.789E5,1.135E4,1.351E4,1.789E5,0.0487,1.1894,0.4456,,,3,1
16,0.4919,0.4639,0.5284,389.88408,389.8815,389.88498,1.207E5,4.62E3,3.268E4,1.207E5,0,1,,,,,,,,,,DETECTED,389.88408,389.8815,389.88498,0.4919,0.4639,0.5284,1.207E5,4.62E3,3.268E4,1.207E5,0.0393,1.1503,1.3007,,,3,1
18,0.4919,0.4714,0.551,470.90084,470.89801,470.9035,1.735E5,8.01E3,5.159E4,1.735E5,0,1,115,,,,,,,,,DETECTED,470.90084,470.89801,470.9035,0.4919,0.4714,0.551,1.735E5,8.01E3,5.159E4,1.735E5,0.0483,1.9384,2.8768,,,2,1
23,0.5034,0.4639,0.5627,386.93735,386.93649,386.93854,8.775E5,3.933E4,2.351E4,8.775E5,1,1,115,,,,,,,,,DETECTED,386.93735,386.93649,386.93854,0.5034,0.4639,0.5627,8.775E5,3.933E4,2.351E4,8.775E5,0.0431,1.2505,1.409,1,-0.0058,5,1
26,0.5034,0.4639,0.5744,402.91457,402.91284,402.91504,2.541E6,1.088E5,3.14E4,2.541E6,1,1,115,,,,,,,,,DETECTED,402.91457,402.91284,402.91504,0.5034,0.4639,0.5744,2.541E6,1.088E5,3.14E4,2.541E6,0.041,1.2886,1.5252,1,-0.0158,5,1
28,0.5034,0.4639,0.5627,404.91219,404.90845,404.91263,6.704E5,2.959E4,1.479E4,6.704E5,0,1,115,,,,,,,,,DETECTED,404.91219,404.90845,404.91263,0.5034,0.4639,0.5627,6.704E5,2.959E4,1.479E4,6.704E5,0.043,1.298,1.5427,,,5,1
29,0.5034,0.4639,0.5744,418.89125,418.88992,418.8956,1.364E6,5.705E4,2.196E4,1.364E6,1,1,115,,,,,,,,,DETECTED,418.89125,418.88992,418.8956,0.5034,0.4639,0.5744,1.364E6,5.705E4,2.196E4,1.364E6,0.0401,1.3093,1.5654,1,-0.0075,4,1
