id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,charge,feature_group,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:feature_state,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:mz,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:mz_range:min,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:mz_range:max,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:rt,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:rt_range:min,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:rt_range:max,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:height,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:area,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:intensity_range:min,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:intensity_range:max,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:fwhm,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:tailing_factor,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:asymmetry_factor,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:fragment_scans,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:rt_ms2_apex_distance,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:isotopes,datafile:202406251802_PMA_dbgi_003223_01_01.mzML:charge
2,0.4774,0.3613,0.5779,226.96343,226.9623,226.96423,6E5,3.883E4,8.048E3,6E5,1,1,7,,,,,,,,,DETECTED,226.96343,226.9623,226.96423,0.4774,0.3613,0.5779,6E5,3.883E4,8.048E3,6E5,1.7679,3.0907,5.0826,1,-0.0035,2,1
6,0.4878,0.3039,0.544,173.92307,173.92233,173.92329,7.669E5,8.049E4,2.475E4,7.669E5,4,1,13,,,,,,,,,DETECTED,173.92307,173.92233,173.92329,0.4878,0.3039,0.544,7.669E5,8.049E4,2.475E4,7.669E5,0.0698,0.6528,0.3056,4,-0.1667,3,1
11,0.4944,0.4592,0.544,306.90728,306.90628,306.90866,1.197E5,5.918E3,3.221E4,1.197E5,0,1,13,,,,,,,,,DETECTED,306.90728,306.90628,306.90866,0.4944,0.4592,0.544,1.197E5,5.918E3,3.221E4,1.197E5,0.0519,1.2031,1.4063,,,6,1
13,0.4944,0.4592,0.544,340.94418,340.94348,340.94522,2.223E5,8.426E3,2.072E4,2.223E5,0,1,13,,,,,,,,,DETECTED,340.94418,340.94348,340.94522,0.4944,0.4592,0.544,2.223E5,8.426E3,2.072E4,2.223E5,0.0435,1.3617,1.4064,,,3,1
24,0.501,0.4592,0.5556,386.93761,386.93634,386.93851,1.351E6,4.729E4,8.593E3,1.351E6,1,1,7,,,,,,,,,DETECTED,386.93761,386.93634,386.93851,0.501,0.4592,0.5556,1.351E6,4.729E4,8.593E3,1.351E6,0.032,1.1487,1.2785,1,-0.0026,5,1
29,0.501,0.4667,0.5672,402.91451,402.91299,402.91479,1.784E6,6.011E4,2.248E4,1.784E6,1,1,7,,,,,,,,,DETECTED,402.91451,402.91299,402.91479,0.501,0.4667,0.5672,1.784E6,6.011E4,2.248E4,1.784E6,0.0299,1.1137,1.5383,1,-0.0043,5,1
32,0.501,0.4667,0.5323,405.86248,405.86188,405.8634,1.647E5,5.26E3,3.806E4,1.647E5,0,1,7,,,,,,,,,DETECTED,405.86248,405.86188,405.8634,0.501,0.4667,0.5323,1.647E5,5.26E3,3.806E4,1.647E5,0.0329,0.956,0.912,,,3,1
34,0.501,0.4667,0.544,418.891,418.88965,418.89178,4.782E5,1.75E4,8.28E4,4.782E5,1,1,7,,,,,,,,,DETECTED,418.891,418.88965,418.89178,0.501,0.4667,0.544,4.782E5,1.75E4,8.28E4,4.782E5,0.0326,1.1252,1.3178,1,0.0023,4,1
37,0.501,0.4667,0.5323,500.91604,500.91135,500.91821,1.707E5,4.509E3,1.613E4,1.707E5,0,1,7,,,,,,,,,DETECTED,500.91604,500.91135,500.91821,0.501,0.4667,0.5323,1.707E5,4.509E3,1.613E4,1.707E5,0.0248,1.1266,1.3352,,,4,1
38,0.501,0.4667,0.5323,502.91616,502.91492,502.918,1.217E5,3.332E3,1.106E4,1.217E5,0,1,7,,,,,,,,,DETECTED,502.91616,502.91492,502.918,0.501,0.4667,0.5323,1.217E5,3.332E3,1.106E4,1.217E5,0.0256,1.131,1.3408,,,4,1
