id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,charge,feature_group,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:feature_state,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:mz,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:mz_range:min,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:mz_range:max,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:rt,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:rt_range:min,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:rt_range:max,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:height,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:area,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:intensity_range:min,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:intensity_range:max,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:fwhm,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:tailing_factor,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:asymmetry_factor,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:fragment_scans,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:rt_ms2_apex_distance,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:isotopes,datafile:202406251802_PMA_dbgi_003214_01_01.mzML:charge
1,0.4824,0.4377,0.5896,226.9637,226.96278,226.96405,8.003E5,4.512E4,1.055E4,8.003E5,1,1,39,,,,,,,,,DETECTED,226.9637,226.96278,226.96405,0.4824,0.4377,0.5896,8.003E5,4.512E4,1.055E4,8.003E5,0.055,2.3839,3.8342,1,-0.0035,3,1
5,0.4912,0.4509,0.5585,275.90395,275.90302,275.90424,9.866E5,4.08E4,1.423E4,9.866E5,1,1,39,,,,,,,,,DETECTED,275.90395,275.90302,275.90424,0.4912,0.4509,0.5585,9.866E5,4.08E4,1.423E4,9.866E5,0.0392,1.3177,1.3704,1,-0.0156,2,1
9,0.4912,0.464,0.5276,389.88415,389.88385,389.8866,2.582E5,8.541E3,2.763E4,2.582E5,1,1,39,,,,,,,,,DETECTED,389.88415,389.88385,389.8866,0.4912,0.464,0.5276,2.582E5,8.541E3,2.763E4,2.582E5,0.0329,1.1694,1.8368,1,0.004,4,1
10,0.4912,0.464,0.5276,391.88374,391.8822,391.88577,6.927E4,2.452E3,1.497E4,6.927E4,0,1,39,,,,,,,,,DETECTED,391.88374,391.8822,391.88577,0.4912,0.464,0.5276,6.927E4,2.452E3,1.497E4,6.927E4,0.035,1.1694,1.3387,,,5,1
18,0.4999,0.3041,0.5343,173.92306,173.92276,173.92322,7.764E5,7.677E4,5.246E4,7.764E5,4,1,39,,,,,,,,,DETECTED,173.92306,173.92276,173.92322,0.4999,0.3041,0.5343,7.764E5,7.677E4,5.246E4,7.764E5,0.0495,0.5877,0.1463,4,-0.1759,3,1
20,0.4999,0.4583,0.5465,230.9064,230.90623,230.90691,2.759E5,1.154E4,2.038E4,2.759E5,1,1,39,,,,,,,,,DETECTED,230.9064,230.90623,230.90691,0.4999,0.4583,0.5465,2.759E5,1.154E4,2.038E4,2.759E5,0.0397,0.9528,0.7856,1,-0.0118,3,1
26,0.4999,0.464,0.5465,386.93791,386.93665,386.93814,1.392E6,3.991E4,1.883E4,1.392E6,1,1,39,,,,,,,,,DETECTED,386.93791,386.93665,386.93814,0.4999,0.464,0.5465,1.392E6,3.991E4,1.883E4,1.392E6,0.0274,1.0209,1.0391,1,-0.0135,5,1
33,0.5067,0.4583,0.6141,158.97615,158.97508,158.97624,2.009E7,1.33E6,1.041E5,2.009E7,3,1,39,,,,,,,,,DETECTED,158.97615,158.97508,158.97624,0.5067,0.4583,0.6141,2.009E7,1.33E6,1.041E5,2.009E7,0.07,1.4608,1.7927,3,-0.0386,5,1
40,0.5067,0.464,0.5585,244.96111,244.95972,244.96182,4.363E5,1.62E4,1.885E4,4.363E5,1,1,39,,,,,,,,,DETECTED,244.96111,244.95972,244.96182,0.5067,0.464,0.5585,4.363E5,1.62E4,1.885E4,4.363E5,0.0357,1.0798,1.0919,1,0.0044,5,1
45,0.5067,0.4583,0.6029,272.95817,272.95636,272.95831,1.052E7,4.082E5,1.519E4,1.052E7,2,1,39,,,,,,,,,DETECTED,272.95817,272.95636,272.95831,0.5067,0.4583,0.6029,1.052E7,4.082E5,1.519E4,1.052E7,0.0374,1.0623,1.0286,2,-0.0294,5,1
