id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,charge,feature_group,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:feature_state,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:mz,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:mz_range:min,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:mz_range:max,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:rt,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:rt_range:min,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:rt_range:max,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:height,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:area,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:intensity_range:min,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:intensity_range:max,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:fwhm,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:tailing_factor,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:asymmetry_factor,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:fragment_scans,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:rt_ms2_apex_distance,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:isotopes,datafile:202406251802_PMA_dbgi_003180_01_01.mzML:charge
2,0.4762,0.4495,0.5946,226.96351,226.96298,226.96388,2.715E5,1.685E4,9.78E3,2.715E5,0,1,5,,,,,,,,,DETECTED,226.96351,226.96298,226.96388,0.4762,0.4495,0.5946,2.715E5,1.685E4,9.78E3,2.715E5,0.0729,3.0196,4.5579,,,3,1
5,0.4762,0.4541,0.5351,275.90344,275.90228,275.90372,2.987E5,1.242E4,5.18E4,2.987E5,0,1,5,,,,,,,,,DETECTED,275.90344,275.90228,275.90372,0.4762,0.4541,0.5351,2.987E5,1.242E4,5.18E4,2.987E5,0.048,1.8309,2.9687,,,6,1
6,0.4762,0.3054,0.547,291.88168,291.88025,291.88229,3.349E5,1.87E4,1.473E4,3.349E5,0,1,5,,,,,,,,,DETECTED,291.88168,291.88025,291.88229,0.4762,0.3054,0.547,3.349E5,1.87E4,1.473E4,3.349E5,0.0478,0.9029,0.5905,,,4,1
7,0.4762,0.4215,0.547,365.88206,365.88098,365.88486,2.495E5,1.246E4,1.353E4,2.495E5,0,1,5,,,,,,,,,DETECTED,365.88206,365.88098,365.88486,0.4762,0.4215,0.547,2.495E5,1.246E4,1.353E4,2.495E5,0.0457,1.1093,2.2815,,,2,1
10,0.4994,0.3054,0.547,173.92324,173.92285,173.92372,8.843E5,8.699E4,1.859E4,8.843E5,4,1,5,,,,,,,,,DETECTED,173.92324,173.92285,173.92372,0.4994,0.3054,0.547,8.843E5,8.699E4,1.859E4,8.843E5,0.0617,0.6226,0.2453,4,-0.1786,3,1
13,0.4994,0.3054,0.5351,225.89488,225.89449,225.89569,3.868E5,3.62E4,4.384E4,3.868E5,1,1,5,,,,,,,,,DETECTED,225.89488,225.89449,225.89569,0.4994,0.3054,0.5351,3.868E5,3.62E4,4.384E4,3.868E5,0.0651,0.5921,0.1303,1,0.0073,2,1
19,0.4994,0.4598,0.5588,356.92076,356.91879,356.92337,2.432E5,1.295E4,3.035E4,2.432E5,0,1,5,,,,,,,,,DETECTED,356.92076,356.91879,356.92337,0.4994,0.4598,0.5588,2.432E5,1.295E4,3.035E4,2.432E5,0.0616,1.251,1.2528,,,2,1
20,0.4994,0.4598,0.5588,402.91382,402.91144,402.91428,9.37E5,3.429E4,1.846E4,9.37E5,1,1,5,,,,,,,,,DETECTED,402.91382,402.91144,402.91428,0.4994,0.4598,0.5588,9.37E5,3.429E4,1.846E4,9.37E5,0.0356,1.2016,1.2507,1,-0.0042,5,1
21,0.4994,0.4598,0.5588,418.89174,418.88934,418.8923,2.324E6,7.726E4,2.747E4,2.324E6,1,1,5,,,,,,,,,DETECTED,418.89174,418.88934,418.8923,0.4994,0.4598,0.5588,2.324E6,7.726E4,2.747E4,2.324E6,0.0305,1.2096,1.367,1,-0.0076,4,1
26,0.4994,0.4598,0.571,434.86958,434.866,434.86978,1.733E6,6.188E4,1.821E4,1.733E6,1,1,5,,,,,,,,,DETECTED,434.86958,434.866,434.86978,0.4994,0.4598,0.571,1.733E6,6.188E4,1.821E4,1.733E6,0.0326,1.2608,1.4434,1,-0.0059,5,1
