id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,charge,feature_group,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:feature_state,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:mz,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:mz_range:min,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:mz_range:max,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:rt,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:rt_range:min,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:rt_range:max,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:height,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:area,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:intensity_range:min,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:intensity_range:max,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:fwhm,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:tailing_factor,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:asymmetry_factor,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:fragment_scans,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:rt_ms2_apex_distance,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:isotopes,datafile:202406251802_PMA_dbgi_003140_01_01.mzML:charge
1,0.4777,0.439,0.591,226.96376,226.96272,226.96391,5.235E5,3.162E4,1.096E4,5.235E5,1,1,,,,,,,,,,DETECTED,226.96376,226.96272,226.96391,0.4777,0.439,0.591,5.235E5,3.162E4,1.096E4,5.235E5,0.0628,2.6883,4.642,1,-0.0034,3,1
4,0.4777,0.4538,0.5553,275.90392,275.90316,275.90466,6.154E5,2.7E4,2.132E4,6.154E5,1,1,,,,,,,,,,DETECTED,275.90392,275.90316,275.90466,0.4777,0.4538,0.5553,6.154E5,2.7E4,2.132E4,6.154E5,0.043,2.1852,3.0299,1,-0.0051,5,1
19,0.5,0.467,0.5793,304.91241,304.91147,304.91263,1.706E6,7.928E4,4.464E4,1.706E6,1,1,37,,,,,,,,,DETECTED,304.91241,304.91147,304.91263,0.5,0.467,0.5793,1.706E6,7.928E4,4.464E4,1.706E6,0.044,1.3764,1.5667,1,-0.0149,6,1
23,0.5,0.467,0.5435,386.93738,386.93604,386.94016,5.08E5,1.76E4,4.322E4,5.08E5,1,1,37,,,,,,,,,DETECTED,386.93738,386.93604,386.94016,0.5,0.467,0.5435,5.08E5,1.76E4,4.322E4,5.08E5,0.0331,1.0095,0.9359,1,-0.0029,5,1
26,0.5,0.4595,0.5316,402.91464,402.91415,402.91766,1.333E6,4.061E4,1.039E4,1.333E6,1,1,37,,,,,,,,,DETECTED,402.91464,402.91415,402.91766,0.5,0.4595,0.5316,1.333E6,4.061E4,1.039E4,1.333E6,0.0323,1.0175,1.1396,1,-0.0063,5,1
29,0.5,0.467,0.5553,418.89128,418.89069,418.89285,6.968E5,2.241E4,2.499E4,6.968E5,1,1,37,,,,,,,,,DETECTED,418.89128,418.89069,418.89285,0.5,0.467,0.5553,6.968E5,2.241E4,2.499E4,6.968E5,0.0321,1.121,1.2902,1,-0.0046,5,1
37,0.5067,0.4538,0.6022,146.95822,146.95757,146.95853,7.254E5,4.801E4,2.157E4,7.254E5,1,,37,,,,,,,,,DETECTED,146.95822,146.95757,146.95853,0.5067,0.4538,0.6022,7.254E5,4.801E4,2.157E4,7.254E5,0.0685,1.3957,1.7076,1,-0.02,,
38,0.5067,0.4538,0.6135,158.9761,158.97542,158.97623,1.533E7,1.172E6,1.206E5,1.533E7,3,1,37,,,,,,,,,DETECTED,158.9761,158.97542,158.97623,0.5067,0.4538,0.6135,1.533E7,1.172E6,1.206E5,1.533E7,0.0849,1.3875,1.6326,3,-0.0432,4,1
40,0.5067,0.4538,0.6022,160.97307,160.97292,160.97328,1.831E6,1.295E5,1.5E4,1.831E6,0,1,37,,,,,,,,,DETECTED,160.97307,160.97292,160.97328,0.5067,0.4538,0.6022,1.831E6,1.295E5,1.5E4,1.831E6,0.0877,1.3894,1.6165,,,4,1
41,0.5067,0.3039,0.5435,173.92324,173.92291,173.92354,8.381E5,8.189E4,1.81E5,8.381E5,4,1,,,,,,,,,,DETECTED,173.92324,173.92291,173.92354,0.5067,0.3039,0.5435,8.381E5,8.189E4,1.81E5,8.381E5,0.057,0.5906,0.1811,4,-0.1824,2,1
44,0.5067,0.4538,0.6022,174.95382,174.95311,174.95389,1.521E7,1.154E6,3.716E5,1.521E7,3,1,37,,,,,,,,,DETECTED,174.95382,174.95311,174.95389,0.5067,0.4538,0.6022,1.521E7,1.154E6,3.716E5,1.521E7,0.0777,1.4064,1.6868,3,-0.0449,4,1
45,0.5067,0.4538,0.591,175.9558,175.95541,175.95663,2.986E5,2.217E4,1.248E4,2.986E5,1,1,37,,,,,,,,,DETECTED,175.9558,175.95541,175.95663,0.5067,0.4538,0.591,2.986E5,2.217E4,1.248E4,2.986E5,0.0779,1.3727,1.649,1,0.0061,2,1
47,0.5067,0.3039,0.5316,225.89508,225.8947,225.89626,4.234E5,3.563E4,5.129E4,4.234E5,1,1,,,,,,,,,,DETECTED,225.89508,225.8947,225.89626,0.5067,0.3039,0.5316,4.234E5,3.563E4,5.129E4,4.234E5,0.0335,0.5613,0.0686,1,0.0044,3,1
51,0.5067,0.4595,0.591,272.95814,272.957,272.95828,7.205E6,3.377E5,2.76E4,7.205E6,2,1,37,,,,,,,,,DETECTED,272.95814,272.957,272.95828,0.5067,0.4595,0.591,7.205E6,3.377E5,2.76E4,7.205E6,0.0456,1.0733,0.9981,2,-0.0233,5,1
56,0.5067,0.4538,0.591,288.93567,288.9343,288.93582,7.049E6,3.383E5,8.881E3,7.049E6,2,1,37,,,,,,,,,DETECTED,288.93567,288.9343,288.93582,0.5067,0.4538,0.591,7.049E6,3.383E5,8.881E3,7.049E6,0.0461,1.1156,1.0542,2,-0.025,4,1
58,0.5067,0.4595,0.5793,290.93266,290.93149,290.93448,7.506E5,3.461E4,1.631E4,7.506E5,0,1,37,,,,,,,,,DETECTED,290.93266,290.93149,290.93448,0.5067,0.4595,0.5793,7.506E5,3.461E4,1.631E4,7.506E5,0.0487,1.1351,1.1713,,,4,1
65,0.5203,0.3039,0.5435,178.97475,178.97435,178.97495,1.024E6,1.087E5,9.749E4,1.024E6,4,1,5,,,,,,,,,DETECTED,178.97475,178.97435,178.97495,0.5203,0.3039,0.5435,1.024E6,1.087E5,9.749E4,1.024E6,0.1031,0.5535,0.1069,4,-0.1634,2,1
68,0.5203,0.4777,0.5435,231.92916,231.9287,231.92949,4.464E5,1.487E4,4.078E4,4.464E5,1,1,5,,,,,,,,,DETECTED,231.92916,231.9287,231.92949,0.5203,0.4777,0.5435,4.464E5,1.487E4,4.078E4,4.464E5,0.03,0.7717,0.5433,1,-0.0026,5,1
72,0.5203,0.4777,0.5793,372.89689,372.89413,372.89972,5.569E5,1.836E4,2.07E4,5.569E5,0,1,,,,,,,,,,DETECTED,372.89689,372.89413,372.89972,0.5203,0.4777,0.5793,5.569E5,1.836E4,2.07E4,5.569E5,0.0262,1.0309,1.0731,,,3,1
75,0.5203,0.5,0.5793,440.8798,440.87662,440.88174,8.418E5,2.688E4,3.29E4,8.418E5,1,1,,,,,,,,,,DETECTED,440.8798,440.87662,440.88174,0.5203,0.5,0.5793,8.418E5,2.688E4,3.29E4,8.418E5,0.0302,2.0967,2.6626,1,0.0068,5,1
78,0.5203,0.467,0.5553,486.87661,486.87534,486.87848,2.729E5,8.551E3,1.736E4,2.729E5,0,1,5,,,,,,,,,DETECTED,486.87661,486.87534,486.87848,0.5203,0.467,0.5553,2.729E5,8.551E3,1.736E4,2.729E5,0.026,0.7226,0.4983,,,3,1
81,0.5203,0.5,0.5553,570.83464,570.83301,570.83569,2.933E5,6.319E3,4.492E4,2.933E5,0,1,,,,,,,,,,DETECTED,570.83464,570.83301,570.83569,0.5203,0.5,0.5553,2.933E5,6.319E3,4.492E4,2.933E5,0.0189,1.3598,1.6653,,,3,1
84,0.5316,0.5,0.591,456.85805,456.85483,456.86002,6.176E5,2.264E4,1.546E4,6.176E5,1,1,,,,,,,,,,DETECTED,456.85805,456.85483,456.86002,0.5316,0.5,0.591,6.176E5,2.264E4,1.546E4,6.176E5,0.0371,1.3442,1.3992,1,0.004,5,1
87,0.5435,0.4595,0.6241,242.93857,242.93649,242.94098,3.081E6,1.45E5,4.952E4,3.081E6,1,1,12,,,,,,,,,DETECTED,242.93857,242.93649,242.94098,0.5435,0.4595,0.6241,3.081E6,1.45E5,4.952E4,3.081E6,0.0417,0.8042,0.3701,1,-0.029,4,1
88,0.5435,0.5,0.591,244.93528,244.9343,244.9355,4.487E5,1.902E4,4.02E4,4.487E5,0,1,12,,,,,,,,,DETECTED,244.93528,244.9343,244.9355,0.5435,0.5,0.591,4.487E5,1.902E4,4.02E4,4.487E5,0.0394,1.1274,0.9985,,,4,1
89,0.5435,0.5,0.6022,258.91567,258.91422,258.91595,1.2E6,5.395E4,5.322E4,1.2E6,1,1,12,,,,,,,,,DETECTED,258.91567,258.91422,258.91595,0.5435,0.5,0.6022,1.2E6,5.395E4,5.322E4,1.2E6,0.0427,1.1153,1.033,1,-0.0096,4,1
92,0.5435,0.5,0.6022,326.90027,326.89996,326.90135,2.359E6,8.587E4,4.945E4,2.359E6,1,1,12,,,,,,,,,DETECTED,326.90027,326.89996,326.90135,0.5435,0.5,0.6022,2.359E6,8.587E4,4.945E4,2.359E6,0.0327,1.0909,1.0315,1,-0.0147,5,1
94,0.5435,0.5067,0.591,328.89848,328.89783,328.90063,5.054E5,1.917E4,5.817E4,5.054E5,0,1,12,,,,,,,,,DETECTED,328.89848,328.89783,328.90063,0.5435,0.5067,0.591,5.054E5,1.917E4,5.817E4,5.054E5,0.0358,1.1462,1.007,,,5,1
95,0.5435,0.5,0.6022,342.87731,342.87482,342.88022,8.402E5,3.357E4,2.452E4,8.402E5,1,1,12,,,,,,,,,DETECTED,342.87731,342.87482,342.88022,0.5435,0.5,0.6022,8.402E5,3.357E4,2.452E4,8.402E5,0.0363,1.1337,1.1438,1,-0.0029,4,1
98,0.5435,0.5067,0.591,410.86092,410.85767,410.86173,2.032E6,6.554E4,1.396E5,2.032E6,1,1,12,,,,,,,,,DETECTED,410.86092,410.85767,410.86173,0.5435,0.5067,0.591,2.032E6,6.554E4,1.396E5,2.032E6,0.0304,1.0086,0.9063,1,-0.0046,5,1
101,0.5435,0.5067,0.6022,426.83762,426.83615,426.8385,7.301E5,2.544E4,2.409E4,7.301E5,1,1,12,,,,,,,,,DETECTED,426.83762,426.83615,426.8385,0.5435,0.5067,0.6022,7.301E5,2.544E4,2.409E4,7.301E5,0.0306,1.1162,1.0193,1,0.0262,3,1
103,0.5435,0.5067,0.5793,496.82141,496.81995,496.82352,1.198E5,4.086E3,3.276E4,1.198E5,0,1,12,,,,,,,,,DETECTED,496.82141,496.81995,496.82352,0.5435,0.5067,0.5793,1.198E5,4.086E3,3.276E4,1.198E5,0.0328,0.9879,0.9757,,,5,1
105,0.5435,0.5067,0.5793,578.7817,578.7796,578.78644,2.03E5,6.174E3,2.309E4,2.03E5,0,1,12,,,,,,,,,DETECTED,578.7817,578.7796,578.78644,0.5435,0.5067,0.5793,2.03E5,6.174E3,2.309E4,2.03E5,0.0302,0.9879,1.523,,,3,1
107,0.5435,0.5067,0.5793,594.75743,594.75366,594.75836,1.738E5,5.564E3,2.278E4,1.738E5,0,1,12,,,,,,,,,DETECTED,594.75743,594.75366,594.75836,0.5435,0.5067,0.5793,1.738E5,5.564E3,2.278E4,1.738E5,0.0303,0.9879,1.4834,,,3,1
114,0.5553,0.5,0.6241,128.95699,128.95599,128.95712,4.492E6,2.199E5,5.946E4,4.492E6,1,1,2,,,,,,,,,DETECTED,128.95699,128.95599,128.95712,0.5553,0.5,0.6241,4.492E6,2.199E5,5.946E4,4.492E6,0.0467,1.053,1.2044,1,-0.0181,3,1
116,0.5553,0.5067,0.6022,212.91889,212.91859,212.9194,5.472E5,2.274E4,5.444E4,5.472E5,1,1,2,,,,,,,,,DETECTED,212.91889,212.91859,212.9194,0.5553,0.5067,0.6022,5.472E5,2.274E4,5.444E4,5.472E5,0.04,1.1176,1.0473,1,0.0056,2,1
118,0.5553,0.5067,0.6022,296.88119,296.88065,296.88129,1.894E6,7.5E4,1.236E5,1.894E6,1,1,2,,,,,,,,,DETECTED,296.88119,296.88065,296.88129,0.5553,0.5067,0.6022,1.894E6,7.5E4,1.236E5,1.894E6,0.0382,1.0124,1.0282,1,-0.0062,4,1
120,0.5553,0.5067,0.6022,380.84249,380.84058,380.84323,9.83E5,3.752E4,5.374E4,9.83E5,1,1,2,,,,,,,,,DETECTED,380.84249,380.84058,380.84323,0.5553,0.5067,0.6022,9.83E5,3.752E4,5.374E4,9.83E5,0.0392,1.0108,1.0247,1,0.004,2,1
122,0.5553,0.5203,0.591,464.80307,464.80142,464.80496,3.773E5,1.368E4,1.083E5,3.773E5,1,1,2,,,,,,,,,DETECTED,464.80307,464.80142,464.80496,0.5553,0.5203,0.591,3.773E5,1.368E4,1.083E5,3.773E5,0.0356,1.0089,1.0179,1,0.016,4,1
